conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Ohjelmiston kehittelyä koskevat tekniikat ja periaatteet, kuten analyysi, algoritmit, koodaus, testaus ja kääntäminen, Haskell-ohjelmointikielellä.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,tietokoneohjelmointi | ohjelmisto- ja sovelluskehitys ja -analyysi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,inkrementaalinen kehittäminen,released,knowledge,sector-specific,vaiheittainen kehitys | vähittäinen kehittäminen | inkrementaalinen kehitys | vaiheittainen kehittäminen,Inkrementaalinen kehittäminen on ohjelmistojärjestelmien ja sovellusten suunnittelumenetelmä.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,ICT-projektinhallintamenetelmät | ohjelmisto- ja sovelluskehitys ja -analyysi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"KDevelop on ohjelmistovalikoima, jonka avulla voidaan kirjoittaa ohjelmia, kuten kääntäjiä, ohjelmankorjausohjelmia ja koodieditoreita, yhtenäisessä käyttöliittymässä Sen on kehittänyt ohjelmistoyhteisö KDE.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde,tietokanta- ja verkkosuunnittelu ja -hallinta | integroidun kehitysympäristön ohjelmisto
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (oppimisen hallintajärjestelmät),released,knowledge,sector-specific,,"Oppimisjärjestelmä Absorb on verkko-oppimisfoorumi, jonka avulla voidaan luoda, hallinnoida ja toteuttaa sähköisen oppimisen kursseja tai koulutusohjelmia keskiasteen oppilaitosten opiskelijoille.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,oppimisen hallintajärjestelmät | tietokanta- ja verkkosuunnittelu ja -hallinta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,siirtää nykyiset tiedot,released,skill/competence,sector-specific,,"Siirto- ja muuntomenetelmien soveltaminen nykyisiin tietoihin, jotta tietoja voidaan siirtää tai muuntaa formaattien, tallennus- tai tietokonejärjestelmien välillä.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"hallinnoida, koota ja tallentaa digitaalista tietoa"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,määritellä tietokannan fyysinen rakenne,released,skill/competence,sector-specific,määritellä tietokannan fyysinen muistivälinerakenne | määritellä tietokannan tallennusvälineiden rakenne | määritellä tietokannan fyysisen muistin rakenne | määritellä tietokannan fyysisten muistivälineiden rakenne | määritellä tietokannan fyysinen muistirakenne,"Tietyllä viestintävälineellä olevien tietokantojen fyysisen konfiguraation määrittäminen. Tämä koostuu hakemistovaihtoehtojen yksityiskohtaisista eritelmistä, tietotyypeistä ja tietoalkioista, jotka on asetettu tietosanakirjaan.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"hallinnoida, koota ja tallentaa digitaalista tietoa"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Maltego on rikostekninen sovellus, jonka avulla tuotetaan tietoa organisaatioiden toimintaympäristöstä, testataan järjestelmän turvallisuuspuutteet mahdollisen luvattoman käytön varalta ja osoitetaan infrastruktuurin puutteellinen toiminta.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,penetraatiotestaustyökalu | ohjelmisto- ja sovelluskehitys ja -analyysi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,käyttää radiolaitteita,released,skill/competence,cross-sector,,"Radiolaitteen ja sen lisälaitteiden, kuten lähetyskonsolien, vahvistimien ja mikrofonien, asentaminen ja käyttö. Radio-operaattorien kielen perusteiden ymmärtäminen ja tarvittaessa ohjeiden antaminen radiolaitteiden asianmukaisesta käsittelystä.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,käyttää viestintälaitteita | koordinoida etäviestintää
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Ohjelmistokehityksen tekniikat ja periaatteet, kuten analyysi, algoritmit, koodaus, testaus ja kääntäminen, Erlang-ohjelmointikielellä.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,ohjelmisto- ja sovelluskehitys ja -analyysi | tietokoneohjelmointi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,hallita ICT-tietojen luokittelua,released,skill/competence,sector-specific,,Organisaation tietojensa järjestämisessä käyttämän luokitusjärjestelmän valvonta. Kuhunkin tieto-käsitteeseen tai kattavaan osaan liittyvien käsitteiden osoittaminen omistajalle ja kunkin tietoerän arvon määrittäminen.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"hallinnoida, koota ja tallentaa digitaalista tietoa | hallita ICT-tietojen arkkitehtuuria"
