conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,kouluttaa henkilöstöä vähentämään elintarvikejätettä,released,skill/competence,sector-specific,,"Laatia uusia henkilöstön koulutus- ja kehittämiskursseja, jotta voidaan parantaa henkilöstön osaamista elintarvikejätteen synnyn ehkäisyyn ja elintarvikkeiden kierrätyskäytäntöihin liittyvissä asioissa. Varmistaa, että henkilöstö ymmärtää elintarvikkeiden kierrätysmenetelmät ja -välineet, joista yksi esimerkki on jätteiden lajittelu.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,opettaa operatiivisia menettelyjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,kehittää energiansäästömenetelmiä,released,skill/competence,cross-sector,,"Nykyisten tutkimustulosten käyttäminen ja yhteistyön tekeminen asiantuntijoiden kanssa sellaisten käsitteiden, laitteiden ja tuotantoprosessien optimoimiseksi tai kehittämiseksi, jotka vaativat vähemmän energiaa, kuten uudet eristyskäytännöt ja -materiaalit.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,laatia toimintaperiaatteita ja -menettelyjä | ajatella innovatiivisesti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,suorittaa kasvitutkimusta,released,skill/competence,sector-specific,,"Tietojen kerääminen kasveista ja niiden analysointi, jotta saadaan selville niiden perustekijät, kuten alkuperä, anatomia ja toiminta.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analysoida tieteellisiä ja lääketieteellisiä tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,asentaa lämpöpumppuja,released,skill/competence,cross-sector,,"Sellaisten lämpöpumppujen asentaminen, jotka käyttävät kylmäaineiksi kutsuttujen aineiden fysikaalisia ominaisuuksia, jotta ympäristöstä voidaan ottaa talteen lämpöä ja vapauttaa sitä lämpimämpään ympäristöön, mikä on toisin kuin luonnollisessa lämpövirrassa. Tarvittavien aukkojen luominen ja lämpöpumpun osien asentaminen sisätiloihin ja ulkotiloihin. Sähkön ja mahdollisten johtojen yhdistäminen ja lämpöpumpun konfigurointi.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"asentaa lämmitys-, ilmanvaihto- ja ilmastointilaitteita"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,suunnitella biomassalaitoksia,released,skill/competence,sector-specific,,"Suunnitella biomassaenergiajärjestelmä. Määrittää rakennelman rajat, kuten tarvittava tila ja paino. Laskea indikaattoreita, esimerkiksi kapasiteetti, virtaus ja lämpötilat. Laatia yksityiskohtaisia kuvauksia ja piirroksia suunnitelmasta.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,suunnitella sähkö- tai elektroniikkajärjestelmiä tai -laitteita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,tarkastaa merellä sijaitsevia rakennustyömaita,released,skill/competence,cross-sector,,"Säännöllisten tarkastusten tekeminen offshore-laitteistojen, kuten öljynporauslauttojen, rakentamisen aikana ja sen jälkeen, jotta voidaan varmistaa riskien minimointi ja säännösten noudattaminen.",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"neuvoa oikeudellisissa, sääntely- tai menettelykysymyksissä"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,ottaa käyttöön tapoja biologisen monimuotoisuuden ja eläinten hyvinvoinnin edistämiseksi,released,skill/competence,transversal,,"Auttaa toiminnallaan säilyttämään ekosysteemien vakaus ja torjumaan joukkosukupuuttoa, esimerkiksi tekemällä tietoisia ruokavaliovalintoja, jotka tukevat luonnonmukaista ruokatuotantoa ja eläinten hyvinvointia.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,soveltaa ympäristöön liittyviä taitoja ja tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,tehdä toteutettavuustutkimus rakennuksen hallintajärjestelmistä,released,skill/competence,sector-specific,,"Arvioida rakennuksen hallintajärjestelmän potentiaalia. Toteuttaa standardoitu tutkimus, jotta voidaan määrittää energiansäästöpanos, kustannukset ja rajoitukset, ja tehdä tutkimusta päätöksenteon tueksi.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analysoida liiketoimintaa | tehdä kannattavuustutkimus
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,poistaa saastunut materiaali,released,skill/competence,sector-specific,poistaa kontaminoitunut materiaali,Vaarallisten aineiden saastuttamien materiaalien ja laitteiden poistaminen ympäristön suojelemiseksi muulta saastumiselta sekä saastuneiden materiaalien käsittely tai hävittäminen.,http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,käsitellä ja hävittää vaarallisia materiaaleja | arvioida kontaminaatiota
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,noudattaa terveydelle vaarallisten aineiden hallintakäytäntöjä,released,skill/competence,sector-specific,,"Terveydelle vaarallisten aineiden valvontaa koskevien menettelyjen noudattaminen sellaisten toimintojen osalta, joihin liittyy vaarallisia aineita, kuten bakteereja, allergeeneja, jäteöljyä, maalia tai jarrunestettä, jotka aiheuttavat sairauden tai vamman.
	",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,käsitellä ja hävittää vaarallisia materiaaleja | noudattaa työssään varotoimenpiteitä
