conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,laatia tieteellisiä tai akateemisia julkaisuja ja teknisiä asiakirjoja,released,skill/competence,cross-sector,,"Laatia ja muokata tieteellisiä, akateemisia tai teknisiä tekstejä eri aiheista.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,harjoittaa teknistä tai akateemista kirjoittamista
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,hallita tutkimustietoa,released,skill/competence,cross-sector,,"Tuottaa ja analysoida kvalitatiivisilla ja kvantitatiivisilla tutkimusmenetelmillä saatua tieteellistä tietoa. Tallentaa ja ylläpitää tietoja tutkimustietokannoissa. Tukea tieteellisen tiedon uudelleenkäyttöä ja tuntea avoimen datan hallinnan periaatteet.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,hallita tietoa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,Toimia ammatillisessa vuorovaikutuksessa tutkimus- ja työympäristöissä.,released,skill/competence,cross-sector,,"Ottaa muut huomioon ja osoittaa kollegiaalisuutta. Kuunnella, antaa ja vastaanottaa palautetta ja reagoida mielekkäästi muihin ihmisiin, mukaan lukien henkilöstön valvonta ja johtaminen ammatillisessa ympäristössä.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,työskennellä muiden kanssa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,levittää tulokset tiedeyhteisölle,released,skill/competence,cross-sector,,"Julkistaa tieteelliset tulokset millä tahansa soveltuvalla tavalla, kuten seminaarien, työpajojen, akateemisten konferenssien ja tiedejulkaisujen avulla.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,harjoittaa teknistä tai akateemista kirjoittamista
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,kehittää avoimen lähdekoodin ohjelmistoja,released,skill/competence,sector-specific,,"Käyttää ja tuottaa avoimen lähdekoodin ohjelmistoja. Tuntea tärkeimmät avoimen lähdekoodin mallit ja lisenssijärjestelyt sekä avoimen lähdekoodin ohjelmistojen tuotannossa yleisesti käytetyt koodauskäytännöt.
   ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,ohjelmoida tietokonejärjestelmiä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,puhua eri kieliä,released,skill/competence,cross-sector,,Hallita vieraita kieliä ja pystyä viestimään yhdellä tai useammalla vieraalla kielellä.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,käyttää vieraita kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,arvioida tutkimustoimintaa,released,skill/competence,cross-sector,,"Arvioida vertaistason tutkijoiden edistymistä, vaikutusta ja tuloksia.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,antaa palautetta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,osoittaa tieteenalaa koskevaa asiantuntemusta,released,skill/competence,cross-sector,,"Osoittaa tietyn tutkimusalan syvällistä tuntemusta ja monitahoista ymmärrystä, mukaan lukien vastuullinen tutkimus, tutkimuksen etiikka ja tieteen luotettavuuden periaatteet, yksityisyys ja yleisen tietosuoja-asetuksen vaatimukset, jotka liittyvät tietyn alan tutkimustoimiin.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,laata tutkimuksia ja selvityksiä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,ajatella analyyttisesti,released,skill/competence,transversal,ajatella loogisesti | ajatella analysoivasti | tunnistaa vaihtoehtojen vahvuudet ja heikkoudet,"Muodostaa käsityksiä logiikkaan ja päättelyyn perustuen, jotta voitaisiin tunnistaa vaihtoehtoisten ratkaisujen, päätelmien tai lähestymistapojen vahvuudet ja heikkoudet.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"käsitellä tietoa, ideoita ja käsitteitä"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,opettaa akateemisissa tai ammatillisissa yhteyksissä,released,skill/competence,cross-sector,,"Opettaa opiskelijoille akateemisten tai ammatillisten oppiaineiden teoriaa ja käytäntöä ja siirtää heille oman ja muiden tutkijoiden tutkimusten sisältöä.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,opettaa akateemisia tai ammatillisia oppiaineita
